id,name,family,style,alc_vol,bitter,ounces
1325,Big Rod Coconut Ale,Other Ales,American Blonde Ale,0.053,16,12
2392,Nonstop Hef Hop,Other Ales,American Pale Wheat Ale,0.039,20,16
559,Jon Boat Coastal Ale,Other Ales,American Blonde Ale,0.045,20,12
882,1881 California Red Ale,Other Ales,American Amber / Red Ale,0.055999999999999994,35,16
1195,Wild Wolf American Pilsner,Lager & Pilsener,American Pilsner,0.045,25,12
564,Ranger IPA,Pale Ale,American IPA,0.065,70,16
816,Point Nude Beach Summer Wheat,Other Ales,American Pale Wheat Ale,0.05,7,12
2203,Sunshine Pils,Lager & Pilsener,American Pilsner,0.045,45,12
828,Dale's Pale Ale (2012),Pale Ale,American Pale Ale (APA),0.065,65,12
2085,Hop Up Offa That Brett (2014),Pale Ale,Belgian Pale Ale,0.057999999999999996,20,16
2463,Union Jack,Pale Ale,American IPA,0.075,75,12
760,Cold Smoke Scotch Ale (2007),Other Ales,Scotch Ale / Wee Heavy,0.065,11,16
2320,Jack the Sipper,Stout & Bitter,Extra Special / Strong Bitter (ESB),0.053,45,12
2254,Salamander Slam,Pale Ale,American IPA,0.07,73,16
1928,Cape Cod Red,Other Ales,American Amber / Red Ale,0.055,35,16
2640,Peck's Porter,Stout & Bitter,American Porter,0.065,35,16
1200,Bomber Mountain Amber Ale (2013),Other Ales,American Amber / Red Ale,0.046,20,12
2670,Hoponius Union,Lager & Pilsener,American India Pale Lager,0.067,65,12
425,The Crisp (2011),Lager & Pilsener,German Pilsener,0.054000000000000006,42,16
421,Mustang Golden Ale,Other Ales,American Blonde Ale,0.053,10,12
1647,Terrace Hill Double IPA,Pale Ale,American Double / Imperial IPA,0.095,99,16
1619,Hop Slayer Double IPA,Pale Ale,American Double / Imperial IPA,0.08199999999999999,100,12
2105,Even Keel,Pale Ale,American IPA,0.038,40,12
2270,Point Cascade Pale Ale (2013),Pale Ale,American Pale Ale (APA),0.054000000000000006,33,12
358,Hop Knot IPA,Pale Ale,American IPA,0.067,47,12
2326,Sweet Josie,Other Ales,American Brown Ale,0.061,30,12
1987,Shift,Lager & Pilsener,American Pale Lager,0.05,29,12
1825,Squatters Hop Rising Double IPA,Pale Ale,American Double / Imperial IPA,0.09,75,12
519,SoDo Brown Ale,Other Ales,American Brown Ale,0.054000000000000006,20,12
1176,Redacted Rye IPA,Pale Ale,American IPA,0.07,100,16
2687,Parapet ESB,Stout & Bitter,Extra Special / Strong Bitter (ESB),0.055999999999999994,47,16
1442,F5 IPA,Pale Ale,American IPA,0.068,100,16
665,Toasted Lager,Lager & Pilsener,Vienna Lager,0.055,28,12
837,Desolation IPA,Pale Ale,American IPA,0.062,43,16
1834,One Nut Brown,Other Ales,American Brown Ale,0.047,28,12
904,Ex Umbris Rye Imperial Stout,Stout & Bitter,American Double / Imperial Stout,0.099,85,16
1469,Tiny Bomb,Lager & Pilsener,American Pilsner,0.045,23,12
758,Double Haul IPA (2006),Pale Ale,American IPA,0.065,65,16
659,Crabtree Oatmeal Stout,Stout & Bitter,Oatmeal Stout,0.075,29,16
90,Third Eye Pale Ale,Pale Ale,American IPA,0.065,65,12
947,Twister Creek India Pale Ale,Pale Ale,American IPA,0.065,71,12
2167,Evil Owl,Other Ales,American Amber / Red Ale,0.052000000000000005,40,12
1857,Supergoose IPA,Pale Ale,American IPA,0.069,67,12
2125,1836,Other Ales,American Blonde Ale,0.06,40,12
2390,Nonstop Hef Hop,Other Ales,American Pale Wheat Ale,0.039,20,16
2075,Cedar Point,Other Ales,American Amber / Red Ale,0.05,26,12
1085,Rise-Up Red (2014),Other Ales,American Amber / Red Ale,0.057999999999999996,60,16
1962,Sensi Harvest,Pale Ale,American Pale Ale (APA),0.047,50,12
1326,Boont Amber Ale,Other Ales,American Amber / Red Ale,0.057999999999999996,15,12
857,Interurban IPA,Pale Ale,American IPA,0.065,80,12
853,PRO-AM (2012) (2012),Pale Ale,American Double / Imperial IPA,0.099,100,12
952,Shift (1),Lager & Pilsener,American Pale Lager,0.05,29,12
544,Old Elephant Foot IPA,Pale Ale,American IPA,0.07,80,16
1396,Laughing Dog IPA,Pale Ale,American IPA,0.064,66,12
1805,Rodeo Rye Pale Ale,Pale Ale,American Pale Ale (APA),0.042,35,12
2596,Heavy Lifting,Pale Ale,American IPA,0.062,80,12
1532,Ten Fidy,Stout & Bitter,Russian Imperial Stout,0.099,98,12
1557,Weekend Warrior Pale Ale,Pale Ale,American Pale Ale (APA),0.055,40,12
2410,Harness the Winter,Pale Ale,American IPA,0.07200000000000001,87,12
1940,077XX,Pale Ale,American Double / Imperial IPA,0.078,80,16
1115,Shenanigans Summer Ale,Other Ales,American Pale Wheat Ale,0.046,27,12
2292,Little Sister India Style Session Ale,Pale Ale,American IPA,0.043,60,12
1912,40 Mile IPA,Pale Ale,American IPA,0.06,50,12
1993,Panther,Stout & Bitter,American Porter,0.057999999999999996,35,12
1671,Gillespie Brown Ale,Other Ales,American Brown Ale,0.095,49,12
2617,Citra Faced,Other Ales,American Pale Wheat Ale,0.055,64,16
2214,Horny Toad Cerveza,Other Ales,American Blonde Ale,0.053,25,16
190,483 Pale Ale (2010),Pale Ale,American Pale Ale (APA),0.053,48,16
1935,Zen,Pale Ale,American Pale Ale (APA),0.043,45,12
1406,Savannah Brown Ale,Other Ales,American Brown Ale,0.062,55,12
